whereItHappened,ts,f0_
connections,2024-07-01T02:47:00,16900
connections,2024-07-01T02:48:00,16879
connections,2024-07-01T02:49:00,16939
connections,2024-07-01T02:50:00,16841
connections,2024-07-01T02:51:00,16565
connections,2024-07-01T02:52:00,16535
connections,2024-07-01T02:53:00,16346
connections,2024-07-01T02:54:00,16413
connections,2024-07-01T02:55:00,16712
connections,2024-07-01T02:56:00,16403
connections,2024-07-01T02:57:00,16321
connections,2024-07-01T02:58:00,16233
connections,2024-07-01T02:59:00,16295
connections,2024-07-01T03:00:00,16727
connections,2024-07-01T03:01:00,16771
connections,2024-07-01T03:02:00,17079
connections,2024-07-01T03:03:00,17588
connections,2024-07-01T03:04:00,18023
connections,2024-07-01T03:05:00,18404
connections,2024-07-01T03:06:00,18804
connections,2024-07-01T03:07:00,19222
connections,2024-07-01T03:08:00,19204
connections,2024-07-01T03:09:00,19359
connections,2024-07-01T03:10:00,19206
connections,2024-07-01T03:11:00,18772
connections,2024-07-01T03:12:00,18713
connections,2024-07-01T03:13:00,18790
connections,2024-07-01T03:14:00,18799
connections,2024-07-01T03:15:00,18549
connections,2024-07-01T03:16:00,18541
connections,2024-07-01T03:17:00,18291
connections,2024-07-01T03:18:00,18159
connections,2024-07-01T03:19:00,18024
connections,2024-07-01T03:20:00,17789
connections,2024-07-01T03:21:00,17679
connections,2024-07-01T03:22:00,17440
connections,2024-07-01T03:23:00,17287
connections,2024-07-01T03:24:00,17123
connections,2024-07-01T03:25:00,17144
connections,2024-07-01T03:26:00,17206
connections,2024-07-01T03:27:00,16963
connections,2024-07-01T03:28:00,16878
connections,2024-07-01T03:29:00,16414
connections,2024-07-01T03:30:00,16453
connections,2024-07-01T03:31:00,16299
connections,2024-07-01T03:32:00,16392
connections,2024-07-01T03:33:00,16401
connections,2024-07-01T03:34:00,16316
connections,2024-07-01T03:35:00,16107
connections,2024-07-01T03:36:00,15928
connections,2024-07-01T03:37:00,16215
connections,2024-07-01T03:38:00,15875
connections,2024-07-01T03:39:00,15695
connections,2024-07-01T03:40:00,15588
connections,2024-07-01T03:41:00,15545
connections,2024-07-01T03:42:00,15400
connections,2024-07-01T03:43:00,15586
connections,2024-07-01T03:44:00,15541
connections,2024-07-01T03:45:00,15439
connections,2024-07-01T03:46:00,15228
connections,2024-07-01T03:47:00,15169
connections,2024-07-01T03:48:00,15080
connections,2024-07-01T03:49:00,15211
connections,2024-07-01T03:50:00,15132
connections,2024-07-01T03:51:00,14943
connections,2024-07-01T03:52:00,14931
connections,2024-07-01T03:53:00,14803
connections,2024-07-01T03:54:00,14809
connections,2024-07-01T03:55:00,14746
connections,2024-07-01T03:56:00,14572
connections,2024-07-01T03:57:00,14391
connections,2024-07-01T03:58:00,14512
connections,2024-07-01T03:59:00,14393
connections,2024-07-01T04:00:00,14354
connections,2024-07-01T04:01:00,14141
connections,2024-07-01T04:02:00,14223
connections,2024-07-01T04:03:00,14110
connections,2024-07-01T04:04:00,14167
connections,2024-07-01T04:05:00,14170
connections,2024-07-01T04:06:00,14223
connections,2024-07-01T04:07:00,14053
connections,2024-07-01T04:08:00,13982
connections,2024-07-01T04:09:00,14130
connections,2024-07-01T04:10:00,14077
connections,2024-07-01T04:11:00,14064
connections,2024-07-01T04:12:00,14029
connections,2024-07-01T04:13:00,14070
connections,2024-07-01T04:14:00,13691
connections,2024-07-01T04:15:00,13763
connections,2024-07-01T04:16:00,13676
connections,2024-07-01T04:17:00,13834
connections,2024-07-01T04:18:00,13889
connections,2024-07-01T04:19:00,13846
connections,2024-07-01T04:20:00,13612
connections,2024-07-01T04:21:00,13534
connections,2024-07-01T04:22:00,13550
connections,2024-07-01T04:23:00,13535
connections,2024-07-01T04:24:00,13405
connections,2024-07-01T04:25:00,13428
connections,2024-07-01T04:26:00,13572
connections,2024-07-01T04:27:00,13504
connections,2024-07-01T04:28:00,13435
connections,2024-07-01T04:29:00,13427
connections,2024-07-01T04:30:00,13249
connections,2024-07-01T04:31:00,13343
connections,2024-07-01T04:32:00,13366
connections,2024-07-01T04:33:00,13231
connections,2024-07-01T04:34:00,13138
connections,2024-07-01T04:35:00,13222
connections,2024-07-01T04:36:00,13158
connections,2024-07-01T04:37:00,13060
connections,2024-07-01T04:38:00,13231
connections,2024-07-01T04:39:00,13229
connections,2024-07-01T04:40:00,13275
connections,2024-07-01T04:41:00,13417
connections,2024-07-01T04:42:00,13481
connections,2024-07-01T04:43:00,13307
connections,2024-07-01T04:44:00,13446
connections,2024-07-01T04:45:00,13356
connections,2024-07-01T04:46:00,13430
connections,2024-07-01T04:47:00,13358
connections,2024-07-01T04:48:00,13408
connections,2024-07-01T04:49:00,13231
connections,2024-07-01T04:50:00,13324
connections,2024-07-01T04:51:00,13185
connections,2024-07-01T04:52:00,13232
connections,2024-07-01T04:53:00,13056
connections,2024-07-01T04:54:00,13358
connections,2024-07-01T04:55:00,13352
connections,2024-07-01T04:56:00,13394
connections,2024-07-01T04:57:00,13460
connections,2024-07-01T04:58:00,13365
connections,2024-07-01T04:59:00,13579
connections,2024-07-01T05:00:00,13406
connections,2024-07-01T05:01:00,13634
connections,2024-07-01T05:02:00,13564
connections,2024-07-01T05:03:00,13768
connections,2024-07-01T05:04:00,13909
connections,2024-07-01T05:05:00,13831
connections,2024-07-01T05:06:00,13909
connections,2024-07-01T05:07:00,13898
connections,2024-07-01T05:08:00,14222
connections,2024-07-01T05:09:00,14274
connections,2024-07-01T05:10:00,14444
connections,2024-07-01T05:11:00,14395
connections,2024-07-01T05:12:00,14437
connections,2024-07-01T05:13:00,14343
connections,2024-07-01T05:14:00,14611
connections,2024-07-01T05:15:00,14455
connections,2024-07-01T05:16:00,14640
connections,2024-07-01T05:17:00,14801
connections,2024-07-01T05:18:00,15071
connections,2024-07-01T05:19:00,15208
connections,2024-07-01T05:20:00,15216
connections,2024-07-01T05:21:00,15241
connections,2024-07-01T05:22:00,15412
connections,2024-07-01T05:23:00,15253
connections,2024-07-01T05:24:00,15326
connections,2024-07-01T05:25:00,15553
connections,2024-07-01T05:26:00,15797
connections,2024-07-01T05:27:00,15897
connections,2024-07-01T05:28:00,15840
connections,2024-07-01T05:29:00,16225
connections,2024-07-01T05:30:00,15973
connections,2024-07-01T05:31:00,16100
connections,2024-07-01T05:32:00,16169
connections,2024-07-01T05:33:00,16216
connections,2024-07-01T05:34:00,16452
connections,2024-07-01T05:35:00,16629
connections,2024-07-01T05:36:00,16913
connections,2024-07-01T05:37:00,16991
connections,2024-07-01T05:38:00,17223
connections,2024-07-01T05:39:00,17315
connections,2024-07-01T05:40:00,17415
connections,2024-07-01T05:41:00,17518
connections,2024-07-01T05:42:00,17483
connections,2024-07-01T05:43:00,17780
connections,2024-07-01T05:44:00,17779
connections,2024-07-01T05:45:00,17789
connections,2024-07-01T05:46:00,17993
connections,2024-07-01T05:47:00,18045
connections,2024-07-01T05:48:00,18310
connections,2024-07-01T05:49:00,18434
connections,2024-07-01T05:50:00,18369
connections,2024-07-01T05:51:00,18510
connections,2024-07-01T05:52:00,18920
connections,2024-07-01T05:53:00,19252
connections,2024-07-01T05:54:00,19379
connections,2024-07-01T05:55:00,19490
connections,2024-07-01T05:56:00,19531
connections,2024-07-01T05:57:00,19714
connections,2024-07-01T05:58:00,19803
connections,2024-07-01T05:59:00,19864
connections,2024-07-01T06:00:00,20108
connections,2024-07-01T06:01:00,20099
connections,2024-07-01T06:02:00,20427
connections,2024-07-01T06:03:00,20764
connections,2024-07-01T06:04:00,20795
connections,2024-07-01T06:05:00,21190
connections,2024-07-01T06:06:00,21668
connections,2024-07-01T06:07:00,21875
connections,2024-07-01T06:08:00,22111
connections,2024-07-01T06:09:00,22317
connections,2024-07-01T06:10:00,22501
connections,2024-07-01T06:11:00,23002
connections,2024-07-01T06:12:00,23221
connections,2024-07-01T06:13:00,23640
connections,2024-07-01T06:14:00,23886
connections,2024-07-01T06:15:00,24044
connections,2024-07-01T06:16:00,24285
connections,2024-07-01T06:17:00,24560
connections,2024-07-01T06:18:00,24636
connections,2024-07-01T06:19:00,24723
connections,2024-07-01T06:20:00,25010
connections,2024-07-01T06:21:00,25234
connections,2024-07-01T06:22:00,25772
connections,2024-07-01T06:23:00,26110
connections,2024-07-01T06:24:00,26507
connections,2024-07-01T06:25:00,26695
connections,2024-07-01T06:26:00,26930
connections,2024-07-01T06:27:00,26688
connections,2024-07-01T06:28:00,27181
connections,2024-07-01T06:29:00,27338
connections,2024-07-01T06:30:00,27553
connections,2024-07-01T06:31:00,27753
connections,2024-07-01T06:32:00,28230
connections,2024-07-01T06:33:00,28239
connections,2024-07-01T06:34:00,28654
connections,2024-07-01T06:35:00,28941
connections,2024-07-01T06:36:00,29351
connections,2024-07-01T06:37:00,29696
connections,2024-07-01T06:38:00,30184
connections,2024-07-01T06:39:00,30041
connections,2024-07-01T06:40:00,30186
connections,2024-07-01T06:41:00,30745
connections,2024-07-01T06:42:00,31092
connections,2024-07-01T06:43:00,31126
connections,2024-07-01T06:44:00,31070
connections,2024-07-01T06:45:00,31159
connections,2024-07-01T06:46:00,31326
connections,2024-07-01T06:47:00,31760
connections,2024-07-01T06:48:00,31889
connections,2024-07-01T06:49:00,32457
connections,2024-07-01T06:50:00,32610
connections,2024-07-01T06:51:00,33150
connections,2024-07-01T06:52:00,33161
connections,2024-07-01T06:53:00,33332
connections,2024-07-01T06:54:00,33538
connections,2024-07-01T06:55:00,34058
connections,2024-07-01T06:56:00,34250
connections,2024-07-01T06:57:00,34492
connections,2024-07-01T06:58:00,34757
connections,2024-07-01T06:59:00,34811
connections,2024-07-01T07:00:00,34601
connections,2024-07-01T07:01:00,34348
connections,2024-07-01T07:02:00,34501
connections,2024-07-01T07:03:00,35166
connections,2024-07-01T07:04:00,35543
connections,2024-07-01T07:05:00,36019
connections,2024-07-01T07:06:00,36301
connections,2024-07-01T07:07:00,36804
connections,2024-07-01T07:08:00,37108
connections,2024-07-01T07:09:00,37142
connections,2024-07-01T07:10:00,37304
connections,2024-07-01T07:11:00,37676
connections,2024-07-01T07:12:00,38161
connections,2024-07-01T07:13:00,38704
connections,2024-07-01T07:14:00,38681
connections,2024-07-01T07:15:00,39047
connections,2024-07-01T07:16:00,39199
connections,2024-07-01T07:17:00,39583
connections,2024-07-01T07:18:00,39964
connections,2024-07-01T07:19:00,39999
connections,2024-07-01T07:20:00,40122
connections,2024-07-01T07:21:00,40284
connections,2024-07-01T07:22:00,40862
connections,2024-07-01T07:23:00,41331
connections,2024-07-01T07:24:00,41530
connections,2024-07-01T07:25:00,41694
connections,2024-07-01T07:26:00,41631
connections,2024-07-01T07:27:00,41777
connections,2024-07-01T07:28:00,41749
connections,2024-07-01T07:29:00,41839
connections,2024-07-01T07:30:00,41746
connections,2024-07-01T07:31:00,41760
connections,2024-07-01T07:32:00,41713
connections,2024-07-01T07:33:00,42238
connections,2024-07-01T07:34:00,42831
connections,2024-07-01T07:35:00,43168
connections,2024-07-01T07:36:00,43138
connections,2024-07-01T07:37:00,43301
connections,2024-07-01T07:38:00,43473
connections,2024-07-01T07:39:00,43377
connections,2024-07-01T07:40:00,43327
connections,2024-07-01T07:41:00,43576
connections,2024-07-01T07:42:00,44490
connections,2024-07-01T07:43:00,44122
connections,2024-07-01T07:44:00,43916
connections,2024-07-01T07:45:00,44164
connections,2024-07-01T07:46:00,44120
connections,2024-07-01T07:47:00,44178
connections,2024-07-01T07:48:00,44843
connections,2024-07-01T07:49:00,44677
connections,2024-07-01T07:50:00,45081
connections,2024-07-01T07:51:00,45164
connections,2024-07-01T07:52:00,45392
connections,2024-07-01T07:53:00,45347
connections,2024-07-01T07:54:00,44961
connections,2024-07-01T07:55:00,45301
connections,2024-07-01T07:56:00,45645
connections,2024-07-01T07:57:00,45608
connections,2024-07-01T07:58:00,45622
connections,2024-07-01T07:59:00,45532
connections,2024-07-01T08:00:00,45834
connections,2024-07-01T08:01:00,45231
connections,2024-07-01T08:02:00,45189
connections,2024-07-01T08:03:00,45241
connections,2024-07-01T08:04:00,45856
connections,2024-07-01T08:05:00,45903
connections,2024-07-01T08:06:00,45907
connections,2024-07-01T08:07:00,45985
connections,2024-07-01T08:08:00,46082
connections,2024-07-01T08:09:00,46559
connections,2024-07-01T08:10:00,47016
connections,2024-07-01T08:11:00,46938
connections,2024-07-01T08:12:00,47270
connections,2024-07-01T08:13:00,47332
connections,2024-07-01T08:14:00,47123
connections,2024-07-01T08:15:00,47350
connections,2024-07-01T08:16:00,47131
connections,2024-07-01T08:17:00,46956
connections,2024-07-01T08:18:00,47166
